ds,Close,High,Low,Open,Adj Close,Volume
10-05-2012,81.502853,82.26857,81.205711,82.082855,70.747803,83300000
11-05-2012,80.958572,82.067146,80.621429,80.714287,70.275345,99886500
14-05-2012,79.745712,81.072861,79.657143,80.367142,69.222549,88156600
15-05-2012,79.024284,80.459999,78.821426,80.207146,68.596275,119084000
16-05-2012,78.011429,79.555717,77.291428,79.150002,67.717102,140224000
17-05-2012,75.73143,78.214287,75.73143,77.901428,65.737991,179305000
18-05-2012,75.76857,77.629997,74.597145,76.279999,65.77021,183073100
21-05-2012,80.182854,80.220001,76.292854,76.35714,69.601997,157776500
22-05-2012,79.567146,81.982857,78.940002,81.364288,69.06752,173717600
23-05-2012,81.508568,81.828575,79.03286,79.64286,70.752777,146224400
24-05-2012,80.760002,82.35714,80.175713,82.267143,70.102989,124057500
25-05-2012,80.327141,80.835716,79.781425,80.655716,69.727234,82126800
29-05-2012,81.752853,82,80.758568,81.557144,70.964836,95127200
30-05-2012,82.738571,82.855713,80.937141,81.314285,71.82048,132357400
31-05-2012,82.53286,83.071426,81.637146,82.96286,71.641876,122918600
01-06-2012,80.141426,81.807144,80.074287,81.308571,69.56604,130246900
04-06-2012,80.612854,81.071426,78.35714,80.214287,69.97525,139248900
05-06-2012,80.404289,80.924286,79.761429,80.181427,69.794205,97053600
06-06-2012,81.637146,81.978569,80.785713,81.110001,70.864388,100363900
07-06-2012,81.674286,82.474289,81.5,82.470001,70.896614,94941700
08-06-2012,82.902855,82.940002,81.285713,81.657143,71.963058,86879100
11-06-2012,81.595711,84.071426,81.51857,83.959999,70.828438,147816200
12-06-2012,82.308571,82.374283,80.957146,82.065712,71.447174,108845100
13-06-2012,81.737144,82.639999,81.482857,82.074287,70.951164,73395000
14-06-2012,81.647141,81.928574,81.03714,81.605713,70.873047,86393300
15-06-2012,82.01857,82.08857,81.364288,81.571426,71.195473,83813800
18-06-2012,83.682854,83.984283,81.48143,81.565712,72.640114,110103000
19-06-2012,83.915718,84.285713,83.300003,83.342857,72.84227,90351100
20-06-2012,83.677139,84.178574,82.971428,84.029999,72.635178,89735800
21-06-2012,82.524284,84.031425,82.491432,83.634285,71.634453,81587800
22-06-2012,83.157143,83.169998,82.202858,82.720001,72.1838,71117900
25-06-2012,81.538574,82.828575,81.48143,82.471428,70.778801,76095600
26-06-2012,81.718575,82.07,81.047142,81.618568,70.935043,69134100
27-06-2012,82.071426,82.391426,81.702858,82.14286,71.241348,50749300
28-06-2012,81.292854,82,80.80143,81.667145,70.565521,70709100
29-06-2012,83.428574,83.428574,82.035713,82.571426,72.419403,105375200
02-07-2012,84.645714,84.781425,83.371429,83.53286,73.475929,100023000
03-07-2012,85.629997,85.714287,84.85714,84.982857,74.33033,60428200
05-07-2012,87.134285,87.762856,85.664284,85.794289,75.636093,121095800
06-07-2012,86.554283,86.919998,85.940002,86.727142,75.132645,104732600
09-07-2012,87.69857,87.699997,86.30143,86.471428,76.125954,94851400
10-07-2012,86.887146,88.552856,86.472855,88.281425,75.4216,127989400
11-07-2012,86.347145,86.808571,85.317146,86.58857,74.952843,117330500
12-07-2012,85.557144,86.209999,84.668571,85.748573,74.267082,107010400
13-07-2012,86.424286,86.741432,85.714287,86.135712,75.019798,77856800
16-07-2012,86.701431,87.374283,86.431427,86.445717,75.260384,75315100
17-07-2012,86.705711,87.35714,86.164284,87.255714,75.264091,73406200
18-07-2012,86.608574,86.905716,86.222855,86.655716,75.179779,63175000
19-07-2012,87.760002,87.907143,86.571426,87.325714,76.179276,109215400
20-07-2012,86.328575,87.777145,86.242859,87.575714,74.936729,99367800
23-07-2012,86.261429,86.557144,83.958572,84.914284,74.878433,121993900
24-07-2012,85.845711,87.097145,85.501427,86.76857,74.517601,141283100
25-07-2012,82.138573,82.971428,81.428574,82.065712,71.299644,219328200
26-07-2012,82.125717,82.914284,81.480003,82.822861,71.288452,101658200
27-07-2012,83.594284,83.690002,81.655716,82.144287,72.563248,100984100
30-07-2012,85.004288,85.634285,83.974289,84.417145,73.787193,94785600
31-07-2012,87.251427,87.385712,86.102859,86.175713,75.737808,115581900
01-08-2012,86.687141,88.057144,86.14286,87.987144,75.247986,96125400
02-08-2012,86.827141,87.241432,85.75,86.120003,75.369507,83039600
03-08-2012,87.957146,88.28286,87.365715,87.66143,76.350395,86230200
06-08-2012,88.935715,89.267143,87.894287,88.184288,77.199837,75525800
07-08-2012,88.701431,89.285713,88.291428,88.96714,76.996452,72611700
08-08-2012,88.55143,89.125717,88.157143,88.484283,76.866241,61176500
09-08-2012,88.675713,88.818573,88.257141,88.264282,77.304634,55410600
10-08-2012,88.814285,88.822861,88.385712,88.387146,77.425423,48734700
13-08-2012,90,90,89.035713,89.055717,78.459106,69708100
14-08-2012,90.241432,91.230003,90.029999,90.267143,78.669563,85042300
15-08-2012,90.118568,90.571426,89.678574,90.185715,78.562454,64335600
16-08-2012,90.905716,90.965714,90.071426,90.172859,79.248688,63633500
17-08-2012,92.587143,92.598572,91.258568,91.428574,80.714493,110690300
20-08-2012,95.021431,95.021431,92.842857,92.858574,82.836609,153346200
21-08-2012,93.722855,96.41143,92.904289,95.831429,81.704552,203179900
22-08-2012,95.552856,95.571426,92.587143,93.488571,83.299904,141330700
23-08-2012,94.66143,95.699997,94.449997,95.158569,82.522774,105032200
24-08-2012,94.745712,95.639999,93.650002,94.215714,82.596268,109335100
27-08-2012,96.525711,97.267143,96.220001,97.141426,84.147995,106752100
28-08-2012,96.400002,96.585716,95.809998,96.425713,84.038406,66854200
29-08-2012,96.209999,96.809998,96.085716,96.464287,83.87278,50701700
30-08-2012,94.83857,95.935715,94.692856,95.805717,82.677208,75674900
31-08-2012,95.034286,95.514282,93.89286,95.321426,82.847824,84580300
04-09-2012,96.424286,96.44857,94.928574,95.108574,84.059593,91973000
05-09-2012,95.747147,96.621429,95.657143,96.510002,83.469276,84093800
06-09-2012,96.610001,96.898575,95.828575,96.167145,84.221489,97799100
07-09-2012,97.205711,97.497147,96.538574,96.864288,84.740822,82416600
10-09-2012,94.677139,97.612854,94.585716,97.207146,82.536484,121999500
11-09-2012,94.370003,95.728569,93.785713,95.015717,82.26873,125995800
12-09-2012,95.684288,95.699997,93.714287,95.264282,83.41449,178058300
13-09-2012,97.568573,97.928574,96.395714,96.767143,85.057144,149590000
14-09-2012,98.754288,99.568573,98.269997,98.565712,86.090805,150118500
17-09-2012,99.968575,99.971428,99.230003,99.907143,87.149361,99507800
18-09-2012,100.272858,100.332855,99.488571,99.982857,87.414642,93375800
19-09-2012,100.300003,100.57,99.938568,100.03714,87.438324,81718700
20-09-2012,99.814285,100.008568,99.08857,99.879997,87.014877,84142100
21-09-2012,100.012856,100.724289,99.908569,100.344284,87.188019,142897300
24-09-2012,98.684288,99.302856,97.571426,98.122856,86.029793,159941600
25-09-2012,96.220001,98.968575,96.14286,98.322861,83.881493,129697400
26-09-2012,95.025711,96.098572,94.457146,95.534286,82.840378,144125800
27-09-2012,97.331429,97.452858,94.335716,94.898575,84.850403,148522500
28-09-2012,95.300003,97.30143,95.25,96.964287,83.079475,133777700
01-10-2012,94.19857,96.678574,93.785713,95.879997,82.119278,135898700
02-10-2012,94.472855,95.192856,92.949997,94.544289,82.358391,156998100
03-10-2012,95.921425,95.980003,94.66143,94.980003,83.621208,106070300
04-10-2012,95.257141,96.321426,95.078575,95.89286,83.042099,92681400
05-10-2012,93.227142,95.14286,93.040001,95.028572,81.272423,148501500
08-10-2012,91.167145,92.508568,90.872856,92.41143,79.476555,159498500
09-10-2012,90.835716,91.498573,89.078575,91.235718,79.187637,209649300
10-10-2012,91.558571,92.139999,91,91.391426,79.817818,127589000
11-10-2012,89.728569,92.457146,89.728569,92.35714,78.222473,136520300
12-10-2012,89.958572,90.76857,89.328575,89.937141,78.422997,115003700
15-10-2012,90.68,90.732857,89.121429,90.335716,79.05191,108125500
16-10-2012,92.827141,92.900002,90.14286,90.767143,80.923698,137442900
17-10-2012,92.087143,93.255714,92,92.695717,80.278595,97259400
18-10-2012,90.377144,91.722855,90,91.370003,78.787865,119156100
19-10-2012,87.120003,90.252853,87.08857,90.150002,75.94841,186021500
22-10-2012,90.575714,90.76857,87.251427,87.488571,78.960991,136682700
23-10-2012,87.622856,90.557144,87.385712,90.14286,76.386787,176786400
24-10-2012,88.118568,89.507141,87.234283,88.777145,76.818947,139631800
25-10-2012,87.077141,88.85714,86.507141,88.571426,75.911057,164081400
26-10-2012,86.285713,87.714287,84.428574,87.061432,75.221115,254608200
31-10-2012,85.045715,85.994286,83.957146,84.982857,74.140106,127500800
01-11-2012,85.220001,86.14286,84.881432,85.459999,74.292061,90324500
02-11-2012,82.400002,85.278572,82.10714,85.127144,71.833656,149843400
05-11-2012,83.517143,83.96714,82.514282,83.360001,72.807571,132283900
06-11-2012,83.264282,84.391426,82.870003,84.318573,72.58712,93729300
07-11-2012,79.714287,82.077141,79.39286,81.977142,69.809753,198412200
08-11-2012,76.821426,80.318573,76.470001,80.089996,67.276321,264036500
09-11-2012,78.151428,79.26857,76.245712,77.202858,68.441071,232478400
12-11-2012,77.547142,79.214287,76.949997,79.164284,67.911865,128950500
